,0
2019-1,47994481.68399999
2019-2,46056897.081999995
2019-3,45952883.042
2019-4,42442663.202
2019-5,42226601.177999996
2019-6,41517181.47800001
2019-7,30702954.473
2019-8,31359205.516
2019-9,31139615.364
2019-10,33925192.394
2019-11,34845411.912
2019-12,34850217.122
2020-1,31130430.336
2020-2,29226250.268
2020-3,27546293.272
2020-4,22034332.6318
2020-5,23066427.54
2020-6,26252976.52
2020-7,73983287.14
2020-8,75723815.8
2020-9,75555576.99000001
2020-10,81423746.83
2020-11,81475851.04
2020-12,82571816.0
2021-1,85414503.5
2021-2,82400547.99000001
2021-3,85748828.28999999
2021-4,78583354.95
2021-5,77320936.47
2021-6,78672385.14
2021-7,84672031.45
2021-8,77911450.5
2021-9,80137666.85000001
2021-10,85308655.71
2021-11,89147340.01
2021-12,96719222.4
